question,context
당뇨망막병증이란 무엇인가요?,당뇨망막병증의 카테고리: 눈질환
당뇨망막병증은 어떤 증상을 보이나요?,당뇨망막병증의 카테고리: 눈질환
당뇨망막병증의 치료 방법은 무엇이 있나요?,당뇨망막병증의 카테고리: 눈질환
What is the English name for 당뇨망막병증?,당뇨망막병증의 질환 영문명: Diabetic retinopathy
당뇨망막병증의 주요 증상은 무엇인가요?,"당뇨망막병증의 증상: 시력 감소,  황반부종,  사물이 찌그러져 보임,  광시증,  시야장애,  비문증"
당뇨망막병증으로 인한 황반부종은 어떤 증상을 유발하나요?,"당뇨망막병증의 증상: 시력 감소,  황반부종,  사물이 찌그러져 보임,  광시증,  시야장애,  비문증"
당뇨망막병증은 어떤 증상을 보이나요?,"당뇨망막병증의 관련 질환: 인슐린 의존성 당뇨병,  인슐린 비의존성 당뇨병,  망막 박리,  당뇨망막병증,  유리체 출혈"
인슐린 의존성 당뇨병과 인슐린 비의존성 당뇨병은 어떤 차이가 있나요?,"당뇨망막병증의 관련 질환: 인슐린 의존성 당뇨병,  인슐린 비의존성 당뇨병,  망막 박리,  당뇨망막병증,  유리체 출혈"
당뇨망막병증을 진료하는 안과 전문의는 어떤 역할을 수행하나요?,당뇨망막병증의 진료과: 안과
당뇨망막병증이 발생하면 어떤 증상이 나타날 수 있나요?,당뇨망막병증의 진료과: 안과
당뇨망막병증과 당뇨망막증의 차이는 무엇인가요?,당뇨망막병증의 동의어: 당뇨망막증
당뇨망막병증은 어떤 질환인가요?,"당뇨망막병증의 정의: 당뇨망막병증은 망막의 미세혈관이 손상되는 질환으로, 당뇨병의 합병증 중에서 가장 무서운 질환입니다. 이는 세계 각국의 실명 원인 중에서 높은 비중을 차지하고 있습니다. 당뇨병 경력이 30년 또는 그 이상인 환자의 약 90%에게서 발생하며, 15년 전후일 경우에는 발병률이 약 60~70%에 이릅니다. 혈당 조절이 잘 안되는 경우 더욱 잘 발생합니다. 초기에는 망막병증이 있으면서도 별다른 증상이 없는 경우가 많기 때문에 정기적인 안과 진찰이 중요합니다."
당뇨망막병증은 어떤 환자들에게 주로 발생하나요?,"당뇨망막병증의 정의: 당뇨망막병증은 망막의 미세혈관이 손상되는 질환으로, 당뇨병의 합병증 중에서 가장 무서운 질환입니다. 이는 세계 각국의 실명 원인 중에서 높은 비중을 차지하고 있습니다. 당뇨병 경력이 30년 또는 그 이상인 환자의 약 90%에게서 발생하며, 15년 전후일 경우에는 발병률이 약 60~70%에 이릅니다. 혈당 조절이 잘 안되는 경우 더욱 잘 발생합니다. 초기에는 망막병증이 있으면서도 별다른 증상이 없는 경우가 많기 때문에 정기적인 안과 진찰이 중요합니다."
당뇨망막병증의 원인은 무엇인가요?,"당뇨망막병증의 원인: 당뇨망막병증의 원인은 당뇨병입니다. 당뇨병은 미세혈관계에 병변을 일으키는 대사성 질환으로, 눈을 포함한 전신 조직에 광범위한 장애를 일으킵니다. 당뇨병으로 인해 특유한 망막 순환 장애가 생기는 것을 당뇨망막병증이라고 합니다. 이는 당뇨병성 신경병증, 당뇨병성 신증과 함께 3대 미세혈관 합병증 중의 하나입니다."
당뇨병에서 특유한 망막 순환 장애가 생기는 것을 무엇이라고 하나요?,"당뇨망막병증의 원인: 당뇨망막병증의 원인은 당뇨병입니다. 당뇨병은 미세혈관계에 병변을 일으키는 대사성 질환으로, 눈을 포함한 전신 조직에 광범위한 장애를 일으킵니다. 당뇨병으로 인해 특유한 망막 순환 장애가 생기는 것을 당뇨망막병증이라고 합니다. 이는 당뇨병성 신경병증, 당뇨병성 신증과 함께 3대 미세혈관 합병증 중의 하나입니다."
당뇨망막병증의 구체적 증상은 무엇인가요?,"당뇨망막병증의 구체적 증상: 당뇨망막병증은 크게 비증식성 망막병증과 증식성 망막병증으로 분류할 수 있습니다. 비증식성 망막병증은 망막의 작은 혈관들이 약해져서 혈청이 새거나 혈관이 막혀서 영양 공급이 중단되는 상태를 말합니다. 서서히 발생하며, 시력이 점진적으로 감퇴됩니다. 이는 당뇨망막병증의 초기 소견이라고 할 수 있습니다.
한편 증식성 망막병증은 혈액순환이 나쁜 곳에 신생 혈관이 생김으로써 적절한 치료를 받지 않으면 신생 혈관에서 발생하는 출혈에 의해 5년 이내에 실명하게 되는 무서운 합병증입니다. 당뇨망막병증의 후기 소견이라고 할 수 있습니다.
초기 당뇨망막병증의 경우 증상이 없는 경우도 있습니다. 그러나 비문증(눈앞에 먼지나 벌레 같은 것들이 떠다니는 것처럼 느끼는 증상), 광시증, 변시증(사물이 비뚤어져 보이는 증상), 시야 흐림, 야간 시력 저하, 독서 장애 등이 나타날 수 있습니다.
혈관 투과성이 증가하여 황반부 망막이 붓는 황반 부종은 심각한 시력 저하를 야기할 수 있습니다. 당뇨망막병증이 많이 진행되었다고 하더라도 황반부에 장애가 없다면 좋은 시력을 유지할 수 있습니다. 그러나 가벼운 당뇨망막병증에서도 황반 부종이 발생하면 시력 저하가 발생할 수 있습니다. 따라서 시력은 당뇨망막병증의 정도를 파악하는 지표로 삼을 수 없습니다. 당뇨병을 진단받은 경우 증상 유무에 상관없이 정기 검진과 추적 관찰이 중요합니다."
당뇨망막병증이 진행되면 어떤 증상이 나타날 수 있나요?,"당뇨망막병증의 구체적 증상: 당뇨망막병증은 크게 비증식성 망막병증과 증식성 망막병증으로 분류할 수 있습니다. 비증식성 망막병증은 망막의 작은 혈관들이 약해져서 혈청이 새거나 혈관이 막혀서 영양 공급이 중단되는 상태를 말합니다. 서서히 발생하며, 시력이 점진적으로 감퇴됩니다. 이는 당뇨망막병증의 초기 소견이라고 할 수 있습니다.
한편 증식성 망막병증은 혈액순환이 나쁜 곳에 신생 혈관이 생김으로써 적절한 치료를 받지 않으면 신생 혈관에서 발생하는 출혈에 의해 5년 이내에 실명하게 되는 무서운 합병증입니다. 당뇨망막병증의 후기 소견이라고 할 수 있습니다.
초기 당뇨망막병증의 경우 증상이 없는 경우도 있습니다. 그러나 비문증(눈앞에 먼지나 벌레 같은 것들이 떠다니는 것처럼 느끼는 증상), 광시증, 변시증(사물이 비뚤어져 보이는 증상), 시야 흐림, 야간 시력 저하, 독서 장애 등이 나타날 수 있습니다.
혈관 투과성이 증가하여 황반부 망막이 붓는 황반 부종은 심각한 시력 저하를 야기할 수 있습니다. 당뇨망막병증이 많이 진행되었다고 하더라도 황반부에 장애가 없다면 좋은 시력을 유지할 수 있습니다. 그러나 가벼운 당뇨망막병증에서도 황반 부종이 발생하면 시력 저하가 발생할 수 있습니다. 따라서 시력은 당뇨망막병증의 정도를 파악하는 지표로 삼을 수 없습니다. 당뇨병을 진단받은 경우 증상 유무에 상관없이 정기 검진과 추적 관찰이 중요합니다."
당뇨망막병증을 진단하는 가장 중요한 검사는 무엇인가요?,"당뇨망막병증의 진단: ① 안저 검사
당뇨망막병증을 진단하는 가장 중요한 검사입니다. 모든 환자를 대상으로 한 산동 검사가 원칙이며, 렌즈를 이용한 세극등 현미경 안저 검사 또는 도상 검안경 검사를 시행합니다. 렌즈를 이용한 세극등 현미경 안저 검사는 고배율의 입체시가 가능하기 때문에 후극부의 이상, 즉 유두혈관 신생이나 황반 부종, 망막 내 미세혈관 이상 등을 관찰하는 데 적합합니다. 도상 검안경 검사는 넓은 시야를 얻을 수 있기 때문에 전반적인 출혈이나 삼출물의 정도를 파악할 수 있으며 주변부의 이상을 검사하는데 용이합니다. 이 두 가지 검사는 서로 보완적이기 때문에 두 가지 모두를 이용하여 반복적이고 세밀한 검사를 하는 것이 좋습니다.
② 형광 안저혈관 조영
형광 안저혈관 조영 검사를 통해 당뇨망막병증의 직접적 원인이 되는 혈관의 누출과 혈관 폐쇄를 확인할 수 있습니다. 안저 검사를 시행한 뒤 보완적으로 이 검사를 시행하여 당뇨망막병증의 정도를 파악해야 합니다. 안저 검사를 하지 않고 단독으로 이 검사를 시행하는 것은 바람직하지 않습니다. 안저 검사 소견은 별다른 이상이 없지만 형광 안저 혈관 촬영에서 심한 혈관 비관류가 나타나는 경우도 있으므로, 안저 검사 소견이 의심스러운 경우에 이 검사가 진단에 도움이 될 수 있습니다.
③ 초음파 검사
매체 혼탁에 의해 안저를 관찰할 수 없을 때는 초음파 검사를 이용합니다. 당뇨망막병증에서는 주로 유리체 출혈, 뒤유리체면과 증식막의 상태, 견인 망막 박리 등의 형태 진단을 위해 초음파를 이용합니다.
④ 빛 간섭 단층촬영
빛 간섭 단층촬영을 통해 황반 부종의 정량적 측정을 객관적으로 시행할 수 있습니다. 또한 치료 전후의 효과 판단에 많은 도움을 줍니다. 이 밖에도 망막과 뒤유리체막의 상태를 관찰할 수 있기 때문에 황반 주름, 견인 등의 유무를 진단할 수 있습니다.
⑤ 망막 전위도 검사
임상적으로 가장 의미 있는 소견은 합한 진동소파전위진폭(Summed oscillatory potential amplitude)의 감소입니다. 진동소파전위는 강한 빛을 자극할 때 b파에 중첩되어 나타나는 일련의 파형으로, 망막 내층의 기능을 보여줍니다. 진동소파전위의 진폭 감소는 임상적으로 망막병증이 나타나지 않을 때도 확인할 수 있습니다. 형광 안저 촬영 소견 중 비관류나 누출, 망막병증의 심한 정도에 비례하여 감소합니다. 비증식 당뇨망막병증에서 진동소파전위가 정상일 때는 15년이 경과한 후 증식 당뇨망막병증으로 이행할 가능성이 20%인데 비해, 이것이 감소했을 때는 무려 62%로 높아집니다. 따라서 이 검사는 예후를 예측하는 데 의의가 있습니다."
형광 안저혈관 조영 검사를 통해 어떤 정보를 확인할 수 있나요?,"당뇨망막병증의 진단: ① 안저 검사
당뇨망막병증을 진단하는 가장 중요한 검사입니다. 모든 환자를 대상으로 한 산동 검사가 원칙이며, 렌즈를 이용한 세극등 현미경 안저 검사 또는 도상 검안경 검사를 시행합니다. 렌즈를 이용한 세극등 현미경 안저 검사는 고배율의 입체시가 가능하기 때문에 후극부의 이상, 즉 유두혈관 신생이나 황반 부종, 망막 내 미세혈관 이상 등을 관찰하는 데 적합합니다. 도상 검안경 검사는 넓은 시야를 얻을 수 있기 때문에 전반적인 출혈이나 삼출물의 정도를 파악할 수 있으며 주변부의 이상을 검사하는데 용이합니다. 이 두 가지 검사는 서로 보완적이기 때문에 두 가지 모두를 이용하여 반복적이고 세밀한 검사를 하는 것이 좋습니다.
② 형광 안저혈관 조영
형광 안저혈관 조영 검사를 통해 당뇨망막병증의 직접적 원인이 되는 혈관의 누출과 혈관 폐쇄를 확인할 수 있습니다. 안저 검사를 시행한 뒤 보완적으로 이 검사를 시행하여 당뇨망막병증의 정도를 파악해야 합니다. 안저 검사를 하지 않고 단독으로 이 검사를 시행하는 것은 바람직하지 않습니다. 안저 검사 소견은 별다른 이상이 없지만 형광 안저 혈관 촬영에서 심한 혈관 비관류가 나타나는 경우도 있으므로, 안저 검사 소견이 의심스러운 경우에 이 검사가 진단에 도움이 될 수 있습니다.
③ 초음파 검사
매체 혼탁에 의해 안저를 관찰할 수 없을 때는 초음파 검사를 이용합니다. 당뇨망막병증에서는 주로 유리체 출혈, 뒤유리체면과 증식막의 상태, 견인 망막 박리 등의 형태 진단을 위해 초음파를 이용합니다.
④ 빛 간섭 단층촬영
빛 간섭 단층촬영을 통해 황반 부종의 정량적 측정을 객관적으로 시행할 수 있습니다. 또한 치료 전후의 효과 판단에 많은 도움을 줍니다. 이 밖에도 망막과 뒤유리체막의 상태를 관찰할 수 있기 때문에 황반 주름, 견인 등의 유무를 진단할 수 있습니다.
⑤ 망막 전위도 검사
임상적으로 가장 의미 있는 소견은 합한 진동소파전위진폭(Summed oscillatory potential amplitude)의 감소입니다. 진동소파전위는 강한 빛을 자극할 때 b파에 중첩되어 나타나는 일련의 파형으로, 망막 내층의 기능을 보여줍니다. 진동소파전위의 진폭 감소는 임상적으로 망막병증이 나타나지 않을 때도 확인할 수 있습니다. 형광 안저 촬영 소견 중 비관류나 누출, 망막병증의 심한 정도에 비례하여 감소합니다. 비증식 당뇨망막병증에서 진동소파전위가 정상일 때는 15년이 경과한 후 증식 당뇨망막병증으로 이행할 가능성이 20%인데 비해, 이것이 감소했을 때는 무려 62%로 높아집니다. 따라서 이 검사는 예후를 예측하는 데 의의가 있습니다."
당뇨망막병증을 치료하기 위해 어떤 조치를 취해야 하나요?,"당뇨망막병증의 치료: 당뇨망막병증을 치료하기 위해서는 원인 질환 치료가 동반되어야 합니다. 당뇨망막병증의 발생은 혈당치보다 당뇨병을 앓았던 기간에 비례하는 것으로 알려져 있습니다. 그러나 많은 연구에서 혈당을 엄격하게 조절할 경우 당뇨망막병증의 발생을 예방하거나 지연시킬 수 있고, 그 정도도 감소시킬 수 있다는 것이 밝혀졌습니다. 또한 당뇨병의 초기에 혈당을 조절하는 것이 당뇨망막병증의 빈도를 줄이는 데 가장 효과적입니다.
당뇨병 환자는 혈청 지질이 증가된 경우가 많습니다. 이러한 지질 이상은 혈관 내피세포의 손상을 조장하여 당뇨망막병증의 미세혈관 변화를 악화시킬 수 있습니다. 따라서 반드시 혈청 지질을 조절해야 합니다. 또한 혈압을 조절하거나 흡연을 하는 경우에는 금연을 하는 것이 좋습니다.
일단 발생한 망막병증, 특히 증식성 망막병증에 대해서는 레이저 광선을 이용한 \'광응고 요법\'을 시행할 수 있습니다. 적절한 시기에 이를 잘 치료하면 실명 확률을 현저히 낮출 수 있습니다. 한편 초자체의 출혈이나 망막의 박리 등으로 시력이 더욱 저하된 경우에는 초자체 제거술과 같은 외과적 수술을 고려할 수 있습니다. 광응고 요법의 부작용으로는 치료 시 통증, 각막 미란, 일시적인 안압 상승, 시야 장애, 조기 시력 저하, 황반 부종, 황반 응고, 맥락막 박리, 맥락막 출혈, 삼출 망막 박리, 견인 망막 박리 증가, 유리체 출혈 등을 들 수 있습니다."
당뇨망막병증의 치료를 위해 광응고 요법이 어떤 역할을 하나요?,"당뇨망막병증의 치료: 당뇨망막병증을 치료하기 위해서는 원인 질환 치료가 동반되어야 합니다. 당뇨망막병증의 발생은 혈당치보다 당뇨병을 앓았던 기간에 비례하는 것으로 알려져 있습니다. 그러나 많은 연구에서 혈당을 엄격하게 조절할 경우 당뇨망막병증의 발생을 예방하거나 지연시킬 수 있고, 그 정도도 감소시킬 수 있다는 것이 밝혀졌습니다. 또한 당뇨병의 초기에 혈당을 조절하는 것이 당뇨망막병증의 빈도를 줄이는 데 가장 효과적입니다.
당뇨병 환자는 혈청 지질이 증가된 경우가 많습니다. 이러한 지질 이상은 혈관 내피세포의 손상을 조장하여 당뇨망막병증의 미세혈관 변화를 악화시킬 수 있습니다. 따라서 반드시 혈청 지질을 조절해야 합니다. 또한 혈압을 조절하거나 흡연을 하는 경우에는 금연을 하는 것이 좋습니다.
일단 발생한 망막병증, 특히 증식성 망막병증에 대해서는 레이저 광선을 이용한 \'광응고 요법\'을 시행할 수 있습니다. 적절한 시기에 이를 잘 치료하면 실명 확률을 현저히 낮출 수 있습니다. 한편 초자체의 출혈이나 망막의 박리 등으로 시력이 더욱 저하된 경우에는 초자체 제거술과 같은 외과적 수술을 고려할 수 있습니다. 광응고 요법의 부작용으로는 치료 시 통증, 각막 미란, 일시적인 안압 상승, 시야 장애, 조기 시력 저하, 황반 부종, 황반 응고, 맥락막 박리, 맥락막 출혈, 삼출 망막 박리, 견인 망막 박리 증가, 유리체 출혈 등을 들 수 있습니다."
당뇨망막병증이 있는 사람들은 어떻게 자주 안과검사를 받아야 하나요?,"당뇨망막병증의 경과: 제1형 당뇨병을 처음으로 진단받은 경우, 보통 첫 5년간은 당뇨망막병증이 없으므로 초기 안과검사는 당뇨병 진단 5년 이내에 받으면 됩니다. 제2형 당뇨병의 경우에는 정확한 발병 시기와 유병 기간을 알 수 없으며, 당뇨병을 처음 진단받을 때에 이미 당뇨망막병증이 동반될 수 있으므로 처음 당뇨병 진단을 받을 때 반드시 안과검사가 필요하고 이상이 없더라도 적어도 1년에 한 번 이상 안과검사를 받는 것이 좋습니다.
당뇨망막병증이 진행된 경우에는 정도에 따라 추적 관찰 간격이 결정됩니다. 임신 중에는 당뇨망막병증이 더 악화되므로, 최소한 3개월에 한 번 정도 안저검사를 받아야 하며, 당뇨망막병증의 상태에 따라 더 자주 경과를 관찰해야 합니다."
임신 중에는 당뇨망막병증이 어떻게 변화하나요?,"당뇨망막병증의 경과: 제1형 당뇨병을 처음으로 진단받은 경우, 보통 첫 5년간은 당뇨망막병증이 없으므로 초기 안과검사는 당뇨병 진단 5년 이내에 받으면 됩니다. 제2형 당뇨병의 경우에는 정확한 발병 시기와 유병 기간을 알 수 없으며, 당뇨병을 처음 진단받을 때에 이미 당뇨망막병증이 동반될 수 있으므로 처음 당뇨병 진단을 받을 때 반드시 안과검사가 필요하고 이상이 없더라도 적어도 1년에 한 번 이상 안과검사를 받는 것이 좋습니다.
당뇨망막병증이 진행된 경우에는 정도에 따라 추적 관찰 간격이 결정됩니다. 임신 중에는 당뇨망막병증이 더 악화되므로, 최소한 3개월에 한 번 정도 안저검사를 받아야 하며, 당뇨망막병증의 상태에 따라 더 자주 경과를 관찰해야 합니다."
당뇨망막병증을 앓는 환자라도 중심 망막에 장애가 없으면 시력이 어떻게 되는가요?,당뇨망막병증의 주의사항: 증식성 당뇨망막병증을 앓는 환자라도 중심 망막(황반)에 장애가 없으면 시력이 정상일 수 있습니다. 그러나 이와 같은 상태로도 주변에 증식 병변이 있다면 언제라도 출혈이나 견인 망막 박리로 인해 치명적인 시력 손실이 발생할 수 있습니다. 이 경우 레이저 치료를 받아 위험을 줄여야 합니다.
주변에 증식 병변이 있을 때 어떤 위험을 안고 있나요?,당뇨망막병증의 주의사항: 증식성 당뇨망막병증을 앓는 환자라도 중심 망막(황반)에 장애가 없으면 시력이 정상일 수 있습니다. 그러나 이와 같은 상태로도 주변에 증식 병변이 있다면 언제라도 출혈이나 견인 망막 박리로 인해 치명적인 시력 손실이 발생할 수 있습니다. 이 경우 레이저 치료를 받아 위험을 줄여야 합니다.
당뇨병성 말초신경병증은 어떤 카테고리에 속하나요?,당뇨병성 말초신경병증의 카테고리: 뇌신경정신질환
당뇨병성 말초신경병증이란 무엇인가요?,당뇨병성 말초신경병증
What is the English name for diabetic polyneuropathy?,당뇨병성 말초신경병증의 질환 영문명: Diabetic polyneuropathy
당뇨병성 말초신경병증의 증상은 무감각이나 저림 같은 신체 감각 이상 외에도 더 있나요?,"당뇨병성 말초신경병증의 증상: 무감각,  손, 발 감각 저하,  말초 통증,  말초 신경장애,  저림"
당뇨병성 말초신경병증은 어떤 종류의 당뇨병과 관련이 있나요?,"당뇨병성 말초신경병증의 관련 질환: 인슐린 의존성 당뇨병,  인슐린 비의존성 당뇨병,  당뇨망막병증,  당뇨병,  당뇨병성 족부 질환"
당뇨병성 말초신경병증은 어떤 증상을 보이나요?,당뇨병성 말초신경병증의 진료과: 내분비내과
당뇨병성 말초신경병증을 진단하는 검사는 무엇이 있나요?,당뇨병성 말초신경병증의 진료과: 내분비내과
당뇨병성 말초신경병증의 다른 이름은 무엇인가요?,"당뇨병성 말초신경병증의 동의어: 당뇨병성신경병증,당뇨성말초신경병증,당뇨성신경병증"
당뇨병성 말초신경병증이 무엇인가요?,"당뇨병성 말초신경병증의 정의: 당뇨병성 말초신경병증은 당뇨병의 합병증 중 하나로, 당뇨병을 오래 앓으면서 신경이 손상되어 여러 가지 문제를 일으키는 질환입니다. 모든 신경계에 나타날 수 있지만, 주로 말초신경계에 많이 나타납니다. 당뇨병성 말초신경병증은 일상생활에 많은 불편을 끼치고, 나아가 심한 장애를 남기기 때문에 시급히 치료해야 합니다."
당뇨병성 말초신경병증의 원인은 무엇인가요?,"당뇨병성 말초신경병증의 원인: 경구 혈당강하제를 꾸준히 복용했더라도 혈당이 얼마나 잘 조절되었느냐에 따라, 혹은 당뇨병이 얼마나 오래되었느냐에 따라 당뇨병성 말초신경병증이 생길 수 있습니다. 혈당이 높으면 신경섬유가 손상을 받아 당뇨병성 말초신경병증이 생깁니다."
당뇨병성 말초신경병증의 구체적 증상은 무엇인가요?,"당뇨병성 말초신경병증의 구체적 증상: 말초신경병증의 뚜렷한 증상은 발이 저린 증상, 감각 이상, 무감각, 심한 통증입니다. 화끈거리고 저린 증상이 느껴지며, 부드러운 것이 닿았을 때도 통증이 느껴집니다. 보통 밤에 증상이 더 심해집니다. 통증이 극심해 참기 힘들기도 하지만, 아예 통증이 없는 경우도 있습니다."
당뇨병성 말초신경병증의 통증이 어떻게 느껴지나요?,"당뇨병성 말초신경병증의 구체적 증상: 말초신경병증의 뚜렷한 증상은 발이 저린 증상, 감각 이상, 무감각, 심한 통증입니다. 화끈거리고 저린 증상이 느껴지며, 부드러운 것이 닿았을 때도 통증이 느껴집니다. 보통 밤에 증상이 더 심해집니다. 통증이 극심해 참기 힘들기도 하지만, 아예 통증이 없는 경우도 있습니다."
당뇨병성 말초신경병증을 진단하는 검사 방법은 무엇인가요?,"당뇨병성 말초신경병증의 진단: 당뇨병성 말초신경병증은 당뇨병 환자에게 흔하게 나타나는 합병증입니다.
검사 방법은 다음과 같습니다.
① 말초신경과 자율신경 손상 여부를 확인하기 위한 말초신경 감각 검사와 자율신경 검사
② 다리 혈관의 동맥경화 유무를 조기 진단할 수 있는 하지 혈류 검사
③ 이 밖에 신장 기능을 확인하는 검사와 지질 검사(총콜레스테롤, 좋은 콜레스테롤, 나쁜 콜레스테롤, 중성지방), 혈압, 심전도 등의 검사"
말초신경 감각 검사와 자율신경 검사는 어떻게 진행되나요?,"당뇨병성 말초신경병증의 진단: 당뇨병성 말초신경병증은 당뇨병 환자에게 흔하게 나타나는 합병증입니다.
검사 방법은 다음과 같습니다.
① 말초신경과 자율신경 손상 여부를 확인하기 위한 말초신경 감각 검사와 자율신경 검사
② 다리 혈관의 동맥경화 유무를 조기 진단할 수 있는 하지 혈류 검사
③ 이 밖에 신장 기능을 확인하는 검사와 지질 검사(총콜레스테롤, 좋은 콜레스테롤, 나쁜 콜레스테롤, 중성지방), 혈압, 심전도 등의 검사"
당뇨병성 말초신경병증의 진단을 위해 실시하는 하지 혈류 검사의 목적은 무엇인가요?,"당뇨병성 말초신경병증의 진단: 당뇨병성 말초신경병증은 당뇨병 환자에게 흔하게 나타나는 합병증입니다.
검사 방법은 다음과 같습니다.
① 말초신경과 자율신경 손상 여부를 확인하기 위한 말초신경 감각 검사와 자율신경 검사
② 다리 혈관의 동맥경화 유무를 조기 진단할 수 있는 하지 혈류 검사
③ 이 밖에 신장 기능을 확인하는 검사와 지질 검사(총콜레스테롤, 좋은 콜레스테롤, 나쁜 콜레스테롤, 중성지방), 혈압, 심전도 등의 검사"
