question,context
임신성 당뇨병이 있는 임산부의 췌장에서 인슐린 분비가 어떻게 되나요?,"임신성 당뇨병의 원인: 임신성 당뇨병의 원인은 정확히 알려지지 않았습니다. 다만 임신성 당뇨병은 태반락토젠, 난포호르몬, 황체호르몬 등의 태반 호르몬이 인슐린의 분비를 억제하는 작용과, 태반 인슐린 분해 효소의 작용이 관련된 것으로 추정됩니다.
태아에서 분비되는 호르몬에 의해 인슐린 저항성(insulin resistance), 즉 혈당을 낮추는 인슐린의 기능이 떨어져 세포가 포도당을 효과적으로 연소하지 못하면, 정상 임산부는 인슐린 저항성을 극복하기 위해 췌장에서 인슐린 분비가 증가합니다. 그러나 임신성 당뇨병이 있는 임산부는 인슐린 저항성을 극복할 만큼 인슐린이 충분히 분비되지 못합니다. 그래서 인슐린 저항성과 분비 장애는 모두 임신성 당뇨병의 중요한 원인이 됩니다. 췌장 베타 세포를 항원으로 인식하는 자가 항체가 발견되기도 합니다."
임신성 당뇨병의 구체적 증상은 무엇인가요?,"임신성 당뇨병의 구체적 증상: 대부분은 특징적인 증상이 나타나지 않습니다. 종종 피로감, 쇠약감 등의 증상을 나타내고, 임신성 고혈압을 동반하기도 합니다."
임신성 당뇨병의 진단은 어떻게 이루어지나요?,임신성 당뇨병의 진단: 임신성 당뇨병은 경구 당부하 검사로 진단합니다. 임신성 당뇨병일 가능성이 큰 임산부는 최초로 산전 관리를 받으러 갔을 때 경구 당부하 검사를 시행합니다. 그렇지 않은 임산부는 임신 24~28주 정도에 선별 검사로 50g 경구 당부하 검사를 시행합니다. 이때 당뇨병이 의심되면 100g 경구 당부하 검사를 시행하여 임신성 당뇨병인지를 확정적으로 진단할 수 있습니다.
임신성 당뇨병의 진단을 받기 위해 언제 검사를 받아야 하나요?,임신성 당뇨병의 진단: 임신성 당뇨병은 경구 당부하 검사로 진단합니다. 임신성 당뇨병일 가능성이 큰 임산부는 최초로 산전 관리를 받으러 갔을 때 경구 당부하 검사를 시행합니다. 그렇지 않은 임산부는 임신 24~28주 정도에 선별 검사로 50g 경구 당부하 검사를 시행합니다. 이때 당뇨병이 의심되면 100g 경구 당부하 검사를 시행하여 임신성 당뇨병인지를 확정적으로 진단할 수 있습니다.
임신성 당뇨병의 치료에는 어떤 방법들이 주로 사용되나요?,"임신성 당뇨병의 치료: 혈당을 조절하기 위해 식이 요법, 운동 요법, 인슐린 요법 등을 시행합니다. 전문가와 상의하여 방법 및 정도를 결정하는 것이 바람직합니다. 또한 태아의 상태를 정확히 감시하고 성숙도를 평가해야 합니다. 분만 후에는 신생아를 집중적으로 관리해야 합니다.
목표 혈당은 공복에서 95mg/dL 미만, 식후 1시간 후 140mg/dL 미만, 식후 2시간 후 120mg/dL 미만입니다. 식이 요법 및 운동 요법을 적절하게 시행한 후에도 혈당이 잘 조절되지 않으면 인슐린을 사용합니다. 보통 임신 중에는 경구 혈당 강하제를 추천하지 않습니다."
임신성 당뇨병의 치료 중 목표 혈당치가 어떻게 되나요?,"임신성 당뇨병의 치료: 혈당을 조절하기 위해 식이 요법, 운동 요법, 인슐린 요법 등을 시행합니다. 전문가와 상의하여 방법 및 정도를 결정하는 것이 바람직합니다. 또한 태아의 상태를 정확히 감시하고 성숙도를 평가해야 합니다. 분만 후에는 신생아를 집중적으로 관리해야 합니다.
목표 혈당은 공복에서 95mg/dL 미만, 식후 1시간 후 140mg/dL 미만, 식후 2시간 후 120mg/dL 미만입니다. 식이 요법 및 운동 요법을 적절하게 시행한 후에도 혈당이 잘 조절되지 않으면 인슐린을 사용합니다. 보통 임신 중에는 경구 혈당 강하제를 추천하지 않습니다."
임신성 당뇨병의 경과는 어떻게 되나요?,"임신성 당뇨병의 경과: 혈당이 잘 조절되지 않을 경우, 분만 예정일 4~8주 전에 원인불명의 태아 사망의 빈도가 증가한다고 보고되었습니다. 고혈압과 거대아로 인해 제왕절개술의 빈도가 증가할 수 있습니다. 이 밖에도 태아에게 저혈당증, 저칼슘혈증, 고빌리루빈혈증, 적혈구과다증, 신생아 호흡곤란증 등이 유발될 수 있습니다. 따라서 임신성 당뇨병을 조절하는 것은 매우 중요합니다."
임신성 당뇨병의 식사요법은 무엇을 포함하고 있나요?,임신성 당뇨병의 식사요법: 임신성 당뇨식
인슐린 의존성 당뇨병이 유방내분비질환 카테고리에 속하는 이유는 무엇인가요?,인슐린 의존성 당뇨병의 카테고리: 유방내분비질환
유방내분비질환 카테고리에 속하는 질병들 중에서 인슐린 의존성 당뇨병의 특징적인 증상은 무엇인가요?,인슐린 의존성 당뇨병의 카테고리: 유방내분비질환
인슐린 의존성 당뇨병이란 무엇인가요?,인슐린 의존성 당뇨병
인슐린 의존성 당뇨병의 주된 증상은 무엇인가요?,인슐린 의존성 당뇨병
인슐린 의존성 당뇨병을 치료하기 위해 필요한 주요 치료 방법은 무엇인가요?,인슐린 의존성 당뇨병
What is the English name for insulin-dependent diabetes mellitus?,인슐린 의존성 당뇨병의 질환 영문명: Insulin-dependent diabetes mellitus
인슐린 의존성 당뇨병의 주요 증상은 무엇인가요?,"인슐린 의존성 당뇨병의 증상: 고혈당,  복부 통증,  체중감소,  피로감,  식욕부진,  구토,  다뇨,  다음,  다식"
인슐린 의존성 당뇨병과 당뇨병성 말초신경병증의 관계는 무엇인가요?,"인슐린 의존성 당뇨병의 관련 질환: 인슐린 비의존성 당뇨병,  당뇨망막병증,  당뇨병,  당뇨병성 족부 질환,  임신성 당뇨병,  당뇨병성 말초신경병증"
인슐린 의존성 당뇨병과 당뇨병성 족부 질환은 어떤 연관이 있나요?,"인슐린 의존성 당뇨병의 관련 질환: 인슐린 비의존성 당뇨병,  당뇨망막병증,  당뇨병,  당뇨병성 족부 질환,  임신성 당뇨병,  당뇨병성 말초신경병증"
인슐린 의존성 당뇨병과 임신성 당뇨병의 차이점은 무엇인가요?,"인슐린 의존성 당뇨병의 관련 질환: 인슐린 비의존성 당뇨병,  당뇨망막병증,  당뇨병,  당뇨병성 족부 질환,  임신성 당뇨병,  당뇨병성 말초신경병증"
인슐린 의존성 당뇨병을 진료하는 가정의학과 의사는 어떤 역할을 하나요?,"인슐린 의존성 당뇨병의 진료과: 가정의학과, 건강의학과, 내분비내과, 소아내분비대사과, 신ㆍ췌장이식외과"
소아내분비대사과는 어떤 경우에 인슐린 의존성 당뇨병 환자를 진료하나요?,"인슐린 의존성 당뇨병의 진료과: 가정의학과, 건강의학과, 내분비내과, 소아내분비대사과, 신ㆍ췌장이식외과"
인슐린 의존성 당뇨병은 무슨 종류의 당뇨병인가요?,"인슐린 의존성 당뇨병의 동의어: Type 1 diabetes mellitus,소아당뇨병,제1형 당뇨병"
인슐린 의존성 당뇨병은 무엇인가요?,"인슐린 의존성 당뇨병의 정의: 사람의 몸은 음식을 섭취하여 세포 안에 들어온 포도당의 양에 따라 췌장에서 적당한 인슐린을 자동적으로 생성합니다. 그러나 소아당뇨병(제1형 당뇨병)이 있는 사람들은 췌장에 있는 인슐린을 생성하는 세포가 파괴되어 인슐린을 제대로 생성하지 못합니다. 이와 같이 췌장에서 인슐린이 만들어지지 않아 당뇨병이 생기는 경우를 제1형 당뇨병(소아당뇨병, 인슐린 의존성 당뇨병)이라고 합니다.
이렇게 되면 포도당이 세포 내로 들어가지 못하고 혈액 내에 축적됩니다. 그 결과 고혈당 상태가 되어 에너지를 만들어 낼 수 없게 됩니다. 혈액 내 포도당의 수치가 어떤 기준 이상이 되면, 과도한 포도당은 신장을 통해 소변으로 나옵니다. 이를 당뇨(소변으로 당이 나온다)라고 합니다."
인슐린 의존성 당뇨병의 주된 원인은 무엇인가요?,"인슐린 의존성 당뇨병의 원인: 소아에게 주로 발생하는 제1형 당뇨병은 제2형 당뇨병에 비하면 아주 적은 정도이기는 하나 유전적 요인이 관여합니다. 제1형 당뇨병의 유전적 소인을 가진 사람에게 어떤 환경적인 요인(바이러스 감염, 스트레스 등)이 가해지면 자신의 췌장에서 인슐린을 만들어내는 베타세포를 남으로 인식하고 파괴하기 시작합니다. 이를 자가면역 반응이라고 합니다. 이처럼 제1형 당뇨병은 유전적인 소인에 더하여 환경적 요인, 면역학적 요인이 함께 작용하여 발생합니다."
인슐린 의존성 당뇨병에서 가장 초기에 나타나는 증상은 무엇인가요?,"인슐린 의존성 당뇨병의 구체적 증상: 인슐린 의존성 당뇨병에서 가장 초기에 나타나는 증상은 다뇨입니다. 이는 혈당이 180mg/dl를 넘는 경우에 당분이 몸속으로 재흡수되지 못하고 소변으로 배설되어 생기는 증상입니다. 
일반적으로 혈당이 높을수록 소변량이 많아집니다. 소변량이 많아지면 우리 몸은 수분이 부족하다고 느껴 갈증이 생기고 물을 많이 마시게 됩니다. 또한 음식을 먹어도 당분이 몸 안에서 에너지원으로 이용되지 못하고 빠져나가기 때문에 피로감을 느끼고 체중이 줄며, 자꾸 음식을 찾게 됩니다(다식). 소아의 경우 오히려 다식이 아니라 식욕 부진이 생기는 경우도 있습니다.
구토, 복통, 탈수 등이 동반된 상태를 당뇨병성 케톤산증이라고 합니다. 심하면 의식 장애도 올 수 있습니다. 이러한 증상이 있으면 신속히 병원을 방문해 치료를 받아야 합니다."
혈당이 높을수록 소변량이 늘어나는 이유는 무엇인가요?,"인슐린 의존성 당뇨병의 구체적 증상: 인슐린 의존성 당뇨병에서 가장 초기에 나타나는 증상은 다뇨입니다. 이는 혈당이 180mg/dl를 넘는 경우에 당분이 몸속으로 재흡수되지 못하고 소변으로 배설되어 생기는 증상입니다. 
일반적으로 혈당이 높을수록 소변량이 많아집니다. 소변량이 많아지면 우리 몸은 수분이 부족하다고 느껴 갈증이 생기고 물을 많이 마시게 됩니다. 또한 음식을 먹어도 당분이 몸 안에서 에너지원으로 이용되지 못하고 빠져나가기 때문에 피로감을 느끼고 체중이 줄며, 자꾸 음식을 찾게 됩니다(다식). 소아의 경우 오히려 다식이 아니라 식욕 부진이 생기는 경우도 있습니다.
구토, 복통, 탈수 등이 동반된 상태를 당뇨병성 케톤산증이라고 합니다. 심하면 의식 장애도 올 수 있습니다. 이러한 증상이 있으면 신속히 병원을 방문해 치료를 받아야 합니다."
인슐린 의존성 당뇨병에서 피로감을 느끼고 체중이 줄어들게 되는 이유는 무엇인가요?,"인슐린 의존성 당뇨병의 구체적 증상: 인슐린 의존성 당뇨병에서 가장 초기에 나타나는 증상은 다뇨입니다. 이는 혈당이 180mg/dl를 넘는 경우에 당분이 몸속으로 재흡수되지 못하고 소변으로 배설되어 생기는 증상입니다. 
일반적으로 혈당이 높을수록 소변량이 많아집니다. 소변량이 많아지면 우리 몸은 수분이 부족하다고 느껴 갈증이 생기고 물을 많이 마시게 됩니다. 또한 음식을 먹어도 당분이 몸 안에서 에너지원으로 이용되지 못하고 빠져나가기 때문에 피로감을 느끼고 체중이 줄며, 자꾸 음식을 찾게 됩니다(다식). 소아의 경우 오히려 다식이 아니라 식욕 부진이 생기는 경우도 있습니다.
구토, 복통, 탈수 등이 동반된 상태를 당뇨병성 케톤산증이라고 합니다. 심하면 의식 장애도 올 수 있습니다. 이러한 증상이 있으면 신속히 병원을 방문해 치료를 받아야 합니다."
인슐린 의존성 당뇨병을 진단하기 위한 주요 증상은 무엇인가요?,"인슐린 의존성 당뇨병의 진단: 인슐린 의존성 당뇨병을 진단하기 위해 혈액 채취를 통한 혈당 검사를 시행합니다. 다뇨, 체중 감소 등의 증상이 있으면서, 하루 중 어느 때라도 혈당이 200mg/dl 이상인 경우, 공복 혈당이 126mg/dl 이상인 경우, 경구 당부하 검사 후 2시간째 혈당이 200mg/dl 이상인 경우에 당뇨병으로 진단합니다."
인슐린 의존성 당뇨병을 진단하는데 어떤 혈당 검사가 사용되나요?,"인슐린 의존성 당뇨병의 진단: 인슐린 의존성 당뇨병을 진단하기 위해 혈액 채취를 통한 혈당 검사를 시행합니다. 다뇨, 체중 감소 등의 증상이 있으면서, 하루 중 어느 때라도 혈당이 200mg/dl 이상인 경우, 공복 혈당이 126mg/dl 이상인 경우, 경구 당부하 검사 후 2시간째 혈당이 200mg/dl 이상인 경우에 당뇨병으로 진단합니다."
인슐린 의존성 당뇨병의 치료는 완전히 치료될 수 있는 질병인가요?,"인슐린 의존성 당뇨병의 치료: 당뇨병은 진단 후 일시적으로 치료하더라도 완치되지 않습니다. 지속적으로 관리해야 하는 질병입니다. 
소아당뇨병도 성인형 당뇨병(제2형 당뇨병)과 마찬가지로 식사 및 운동 요법을 해야 합니다. 이와 함께 반드시 적절한 인슐린 치료를 시행해야 합니다.
소아당뇨병에서도 식사 요법은 매우 중요합니다. 성장하는 아이들은 무조건 음식을 제한하면 안 됩니다. 나이에 맞는 성장과 발달이 이루어질 수 있는 적절한 양의 음식을 골고루 섭취해야 합니다. 당뇨병이 환아도 당뇨병이 없는 아이들과 영양 요구량이 같습니다. 따라서 개인 및 가족의 음식 선호도와 식사 습관, 체중, 활동량 및 인슐린 치료 방법 등을 고려하여 식사 습관을 정하되, 혈당을 급격히 올리는 음식(주로 간식류)을 너무 많이 먹지 않도록 주의해야 합니다.
운동은 혈당을 조절하는 데 도움을 줄 뿐만 아니라, 체력과 심폐 기능을 좋게 하고, 유연성을 높이며, 스트레스를 줄여줍니다. 본인이 좋아하고 꾸준히 할 수 있는 운동을 택하되, 본인의 몸 상태를 고려해 운동의 종류와 강도를 정해야 합니다.
인슐린을 사용하는 경우 운동 후 저혈당에 유의해야 합니다. 운동 전후로 혈당을 측정하는 것이 좋습니다. 저혈당에 대비한 음식을 미리 준비해 놓은 후에 운동하는 것이 좋습니다."
소아당뇨병에서 식사 요법은 왜 중요한가요?,"인슐린 의존성 당뇨병의 치료: 당뇨병은 진단 후 일시적으로 치료하더라도 완치되지 않습니다. 지속적으로 관리해야 하는 질병입니다. 
소아당뇨병도 성인형 당뇨병(제2형 당뇨병)과 마찬가지로 식사 및 운동 요법을 해야 합니다. 이와 함께 반드시 적절한 인슐린 치료를 시행해야 합니다.
소아당뇨병에서도 식사 요법은 매우 중요합니다. 성장하는 아이들은 무조건 음식을 제한하면 안 됩니다. 나이에 맞는 성장과 발달이 이루어질 수 있는 적절한 양의 음식을 골고루 섭취해야 합니다. 당뇨병이 환아도 당뇨병이 없는 아이들과 영양 요구량이 같습니다. 따라서 개인 및 가족의 음식 선호도와 식사 습관, 체중, 활동량 및 인슐린 치료 방법 등을 고려하여 식사 습관을 정하되, 혈당을 급격히 올리는 음식(주로 간식류)을 너무 많이 먹지 않도록 주의해야 합니다.
운동은 혈당을 조절하는 데 도움을 줄 뿐만 아니라, 체력과 심폐 기능을 좋게 하고, 유연성을 높이며, 스트레스를 줄여줍니다. 본인이 좋아하고 꾸준히 할 수 있는 운동을 택하되, 본인의 몸 상태를 고려해 운동의 종류와 강도를 정해야 합니다.
인슐린을 사용하는 경우 운동 후 저혈당에 유의해야 합니다. 운동 전후로 혈당을 측정하는 것이 좋습니다. 저혈당에 대비한 음식을 미리 준비해 놓은 후에 운동하는 것이 좋습니다."
인슐린을 사용하는 경우 운동 전후로 무엇을 해야 하나요?,"인슐린 의존성 당뇨병의 치료: 당뇨병은 진단 후 일시적으로 치료하더라도 완치되지 않습니다. 지속적으로 관리해야 하는 질병입니다. 
소아당뇨병도 성인형 당뇨병(제2형 당뇨병)과 마찬가지로 식사 및 운동 요법을 해야 합니다. 이와 함께 반드시 적절한 인슐린 치료를 시행해야 합니다.
소아당뇨병에서도 식사 요법은 매우 중요합니다. 성장하는 아이들은 무조건 음식을 제한하면 안 됩니다. 나이에 맞는 성장과 발달이 이루어질 수 있는 적절한 양의 음식을 골고루 섭취해야 합니다. 당뇨병이 환아도 당뇨병이 없는 아이들과 영양 요구량이 같습니다. 따라서 개인 및 가족의 음식 선호도와 식사 습관, 체중, 활동량 및 인슐린 치료 방법 등을 고려하여 식사 습관을 정하되, 혈당을 급격히 올리는 음식(주로 간식류)을 너무 많이 먹지 않도록 주의해야 합니다.
운동은 혈당을 조절하는 데 도움을 줄 뿐만 아니라, 체력과 심폐 기능을 좋게 하고, 유연성을 높이며, 스트레스를 줄여줍니다. 본인이 좋아하고 꾸준히 할 수 있는 운동을 택하되, 본인의 몸 상태를 고려해 운동의 종류와 강도를 정해야 합니다.
인슐린을 사용하는 경우 운동 후 저혈당에 유의해야 합니다. 운동 전후로 혈당을 측정하는 것이 좋습니다. 저혈당에 대비한 음식을 미리 준비해 놓은 후에 운동하는 것이 좋습니다."
인슐린 의존성 당뇨병의 경과는 어떤 합병증들이 주로 발생하나요?,"인슐린 의존성 당뇨병의 경과: 당뇨병의 합병증으로 당뇨병성 케톤산증, 고삼투압성 비케톤성 혼수, 유산산증, 저혈당 등의 급성 대사성 합병증이 있습니다. 만성적인 혈관 관련 합병증으로는 대혈관 질환(동맥경화증, 관상동맥 질환 및 심근병증, 뇌혈관 질환, 기타 말초혈관 질환)과 미세혈관 질환(망막병증, 신장병증, 신경병증) 등이 있습니다. 복합적 합병증으로는 감염, 피부 병변, 당뇨병성 족부 병변이 있습니다."
인슐린 의존성 당뇨병의 경과에서 주로 발생하는 대혈관 관련 합병증은 무엇인가요?,"인슐린 의존성 당뇨병의 경과: 당뇨병의 합병증으로 당뇨병성 케톤산증, 고삼투압성 비케톤성 혼수, 유산산증, 저혈당 등의 급성 대사성 합병증이 있습니다. 만성적인 혈관 관련 합병증으로는 대혈관 질환(동맥경화증, 관상동맥 질환 및 심근병증, 뇌혈관 질환, 기타 말초혈관 질환)과 미세혈관 질환(망막병증, 신장병증, 신경병증) 등이 있습니다. 복합적 합병증으로는 감염, 피부 병변, 당뇨병성 족부 병변이 있습니다."
인슐린 비의존성 당뇨병이 유방내분비질환에 속하는 이유는 무엇인가요?,인슐린 비의존성 당뇨병의 카테고리: 유방내분비질환
유방내분비질환에 속하는 인슐린 비의존성 당뇨병은 다른 당뇨병과 어떻게 다른가요?,인슐린 비의존성 당뇨병의 카테고리: 유방내분비질환
인슐린 비의존성 당뇨병이란 무엇인가요?,인슐린 비의존성 당뇨병
인슐린 비의존성 당뇨병은 어떤 증상을 보이나요?,인슐린 비의존성 당뇨병
인슐린 비의존성 당뇨병을 관리하기 위한 주요 치료 방법은 무엇인가요?,인슐린 비의존성 당뇨병
What is the English name for non-insulin dependent diabetes mellitus?,인슐린 비의존성 당뇨병의 질환 영문명: Non-insulin dependent diabetes mellitus
인슐린 비의존성 당뇨병의 증상은 무엇인가요?,"인슐린 비의존성 당뇨병의 증상: 고혈당,  소양감,  갈증,  침침함,  다뇨,  저림,  다음,  다식"
인슐린 비의존성 당뇨병과 관련된 질환 중 하나인 당뇨병 망막병증은 어떤 증상을 보이나요?,"인슐린 비의존성 당뇨병의 관련 질환: 인슐린 의존성 당뇨병,  당뇨망막병증,  당뇨병,  저혈당증,  당뇨병성 족부 질환,  임신성 당뇨병,  당뇨병성 말초신경병증"
인슐린 비의존성 당뇨병과 관련된 질환 중 당뇨병성 족부 질환은 어떤 증상을 보이나요?,"인슐린 비의존성 당뇨병의 관련 질환: 인슐린 의존성 당뇨병,  당뇨망막병증,  당뇨병,  저혈당증,  당뇨병성 족부 질환,  임신성 당뇨병,  당뇨병성 말초신경병증"
인슐린 비의존성 당뇨병을 진료하는 가정의학과에서 어떤 진료가 이루어지나요?,"인슐린 비의존성 당뇨병의 진료과: 가정의학과, 건강의학과, 내분비내과, 신ㆍ췌장이식외과"
건강의학과에서 인슐린 비의존성 당뇨병 환자에게 어떤 종류의 치료를 제공하나요?,"인슐린 비의존성 당뇨병의 진료과: 가정의학과, 건강의학과, 내분비내과, 신ㆍ췌장이식외과"
내분비내과에서 인슐린 비의존성 당뇨병을 어떻게 진단하고 치료하나요?,"인슐린 비의존성 당뇨병의 진료과: 가정의학과, 건강의학과, 내분비내과, 신ㆍ췌장이식외과"
신ㆍ췌장이식외과에서는 어떤 경우에 인슐린 비의존성 당뇨병 환자를 치료하나요?,"인슐린 비의존성 당뇨병의 진료과: 가정의학과, 건강의학과, 내분비내과, 신ㆍ췌장이식외과"
인슐린 비의존성 당뇨병의 다른 이름은 무엇인가요?,"인슐린 비의존성 당뇨병의 동의어: Type 2 diabetes mellitus,성인형 당뇨병,제2형 당뇨병"
인슐린 비의존성 당뇨병이란 무엇인가요?,"인슐린 비의존성 당뇨병의 정의: 당뇨병은 소변으로 포도당(요당)이 배출된다고 하여 이름 붙여진 병입니다. 정상인의 경우 소변으로 당이 넘쳐나지 않을 정도로 좁은 범위에서 혈당이 조절됩니다. 여기에는 췌장에서 분비되는 \'인슐린\'이라는 호르몬이 중요한 작용을 합니다. 이러한 인슐린이 모자라거나 인슐린이 제대로 일을 하지 못하면 혈당이 상승하게 되며, 이로 인해 혈당이 지속적으로 높은 상태를 당뇨병이라고 부릅니다."
인슐린 비의존성 당뇨병과 인슐린 의존성 당뇨병의 차이는 무엇인가요?,"인슐린 비의존성 당뇨병의 정의: 당뇨병은 소변으로 포도당(요당)이 배출된다고 하여 이름 붙여진 병입니다. 정상인의 경우 소변으로 당이 넘쳐나지 않을 정도로 좁은 범위에서 혈당이 조절됩니다. 여기에는 췌장에서 분비되는 \'인슐린\'이라는 호르몬이 중요한 작용을 합니다. 이러한 인슐린이 모자라거나 인슐린이 제대로 일을 하지 못하면 혈당이 상승하게 되며, 이로 인해 혈당이 지속적으로 높은 상태를 당뇨병이라고 부릅니다."
인슐린 비의존성 당뇨병의 원인은 무엇인가요?,"인슐린 비의존성 당뇨병의 원인: 당뇨병의 발생에는 유전과 환경이 중요한 역할을 합니다. 즉, 당뇨병에 걸리기 쉬운 유전적 체질을 부모에게 물려받은 사람이 당뇨병을 유발하기 쉬운 환경에 노출되면 당뇨병이 발생할 수 있습니다. 하지만 현재까지 당뇨병을 일으키는 유전자의 이상을 찾을 수 있는 경우는 전체 당뇨병의 1% 미만에 불과합니다. 대부분은 원인이 되는 유전자가 명확히 밝혀지지 않았습니다.
당뇨병을 유발할 수 있는 환경 인자로는 고령, 비만, 스트레스, 임신, 감염, 약물(스테로이드 제제, 면역 억제제, 이뇨제) 등이 있습니다. 환경 인자는 유전 인자와는 달리 본인의 노력으로 어느 정도 피할 수 있다는 점이 중요합니다. 최근 들어 당뇨병이 급증하는 이유는 유전적인 원인보다는 과도한 음식물 섭취와 운동량 감소로 인한 비만증의 증가 때문입니다."
